Keypoint Index	Keypoint Name	X	Y	Z
0	Pelvis	-0.0	0.0	0.5946528315544128
1	Right Hip	0.05589843913912773	-0.008435520343482494	0.5898825526237488
2	Right Knee	-0.010405273176729679	-0.22723492980003357	0.324063241481781
3	Right Ankle	-0.09108642488718033	-0.46293890476226807	0.015384256839752197
4	Left Hip	-0.05153417959809303	-0.0057292538695037365	0.5968273878097534
5	Left Knee	-0.012187011539936066	-0.04227747395634651	0.30345508456230164
6	Left Ankle	0.08266577124595642	-0.11014773696660995	0.0
7	Thoracic	0.006876464933156967	0.07471150159835815	0.7672548890113831
8	Sternum	0.02528369054198265	0.183767169713974	0.9744008779525757
9	Neck	0.08378222584724426	0.16454057395458221	1.0144157409667969
10	Head	0.07790625095367432	0.29333871603012085	1.0458457469940186
11	Right Shoulder	-0.06656103581190109	0.09955402463674545	0.9785168170928955
12	Right Elbow	-0.07422412186861038	-0.13314373791217804	1.1369147300720215
13	Right Wrist	-0.011204101145267487	-0.08917943388223648	1.2926932573318481
14	Left Shoulder	0.10734131187200546	0.1792527735233307	0.9504372477531433
15	Left Elbow	0.19646582007408142	0.06416574865579605	1.0979325771331787
16	Left Wrist	0.24589063227176666	0.11907342076301575	1.224876880645752
